ingredient,substitution,notes
milk ,"""almond milk, oat milk, soy milk, coconut milk""","""dairy-free alternatives"""
cheese,"""vegan cheese, cashew cream, nutritional yeast""","""melty or creamy replacement"""
butter,"""olive oil, coconut oil, margarine""","""fat replacement"""
cream ,"""coconut cream, cashew cream""","""dairy-free alternatives"""
yogurt,"""coconut yogurt, soy yogurt""","""dairy-free yogurt option"""
egg ,"""flaxseed + water, chia seed + water, applesauce""","""binding substitute for baking"""
mayonnaise,"""vegan mayo, mashed avocado""","""egg-free alternative"""
flour,"""almond flour, rice flour, oat flour""","""gluten-free baking substitute"""
bread,"""gluten-free bread, lettuce wraps""","""gluten-free option"""
pasta,"""rice noodles, zucchini noodles""","""gluten-free option"""
breadcrumbs,"""crushed rice cereal, gluten-free breadcrumbs""","""coating substitute"""
peanut,"""sunflower seed butter, soy nut butter""","""nut-free alternative"""
almond,"""sunflower seeds, pumpkin seeds""","""nut-free alternative"""
cashew,"""sunflower seeds, hemp seeds""","""nut-free alternative"""
walnut,"""pumpkin seeds, sunflower seeds""","""nut-free alternative"""
soy sauce,"""coconut aminos, tamari""","""soy-free or gluten-free option"""
tofu,"""tempeh, chickpeas""","""plant protein alternative"""
shrimp,"""chicken, tofu""","""non-shellfish protein"""
crab,"""chicken, jackfruit""","""seafood substitute"""
lobster,"""crab substitute, mushrooms""","""crab substitute, mushrooms"",""texture alternative"""
fish,"""chicken, tofu""","""chicken, tofu"",""general protein swap"""
